wardIndex,wardNo,wardName,Employed,Unemployed,hd_flag
440,441,RAGHUBAR PURA_HD Area,8152.0,16994.5,1
441,442,JHILMIL_HD Area,9688.0,19457.5,1
442,443,VIVEK VIHAR_HD Area,8357.5,15852.5,1
443,444,DILSHAD COLONY_HD Area,8985.0,18537.5,1
444,445,DILSHAD GARDEN_HD Area,8944.0,16334.5,1
445,446,NEW SEEMA PURI_HD Area,9505.5,21359.5,1
446,447,NAND NAGRI_HD Area,7955.5,19256.5,1
447,448,SUNDER NAGARI_HD Area,10269.0,24050.5,1
448,449,DURGA PURI_HD Area,9232.5,21134.5,1
449,450,RAM NAGAR_HD Area,9587.0,20137.0,1
450,451,JAFFRABAD_HD Area,8908.0,20123.0,1
451,452,JANTA COLONY_HD Area,9698.0,21397.5,1
452,453,GOKALPUR_HD Area,9390.0,23435.5,1
453,454,DELHI CANTT CHARGE 4_HD Area,15496.5,18782.5,1
454,455,DELHI CANTT CHARGE 6_HD Area,1568.0,3446.0,1
455,456,DELHI CANTT CHARGE 3_HD Area,1766.5,2147.5,1
456,457,NDMC CHARGE 7_HD Area,7790.0,11473.0,1
457,458,NDMC CHARGE 8_HD Area,5790.0,7567.5,1
458,459,NDMC CHARGE 9_HD Area,14463.5,20450.5,1
