AC No.,address,households,area(sq km),wardNo,district
12,K-Block Mangol Puri,119,2000,47,West
12,L-Block Mangol Puri,240,2685,47,West
12,"Q-Block, Mangol Puri",34,1000,48,West
12,JJC Indira Camp Jaipur Golden Hospital Sec-3 Rohini ,770,15000,45,West
,C-3 Udog Nagar Near Pira Garhi Fly Over.,282,2887,42,West
11,Udyog Nagar Water Tank No.-2 Jwalapuri,950,10415,42,West
11,Bheem Nagar behind Nangloi Bus Depot,954,12288,42,West
11,Hans Raj Mulk Raj Bhatta Jwalapuri,627,11827,42,West
11,Road No.-5 Jawala Puri,535,7546,42,West
12,C-Block Near Tanga Stand Mangol Puri,20,250,46,West
11,Leprosy Camp Near C-3 Udyog Nagar.,23,2000,42,West
11,Jagannath Camp Udyog Nagar Peera Garhi,894,1500,42,West
10,C-2 Block Sultan Puri,48,500,37,North West
10,Y-Block Dhobi Ghat Mangol Puri,173,3000,38,North West
40,"Shaheed Arjun Dass Camp, Laxmi Bai Nagar at Maharaja Agrasen Marg",122,2480,289,New Delhi
38,"Sanjay Camp Part-I, Railway Camp Colony, Chankya Puri",3500,33000,275,South West
38,"Sanjay Camp Part-II, Railway Camp Colony, Chankya Puri Iraq Embassy Side",750,20000,275,South West
40,"Shaheed Arjun Dass Camp on Kushak Nalla Between Vishwa Yuvak Kendra, T.P Lane, Mother Terressa Crescent.",20,373,287,New Delhi
40,"Rajiv Gandhi Camp Behind T.P Lane, Mother Terressa Crescent",56,1283,287,New Delhi
40,Juggies at Dhobi Ghat No. 15 South Avenue,35,346,289,New Delhi
40,"JJ Cluster at Back of House No. 2, Tughlak Lane 21-A Aurangzeb Lane",130,623,287,New Delhi
40,"Indira Gandhi Camp behind new Khanna Market, Lodhi Road",269,5820,289,New Delhi
54,"Rajasthni Camp Near Janta Quarter, Sarita Vihar",306,5700,208,South East
40,"JJ Cluster Known as Dairy No 95, C-31 Block, Kali Bari Marg",590,3080,289,New Delhi
40,"JJ Cluster, Near NDMC Water Supply Control Near Kali Bari Marg",118,1050,289,New Delhi
40,"Raju Camp, C-33 Block, Havlock Squater, Kali Bari Marg",92,1808,287,New Delhi
40,JJ Cluster Behind Palika Dham & Hotel Nicco Bangla Sahib Road ,86,377,287,New Delhi
40,Pacca JJ Cluster Near Princes Park Sangli Mess,453,2590,289,New Delhi
25,"Amar Park Infront of HIL Factory Gate, Petrol Pump, Zhakira",341,13265,100,Central
40,"Indira Camp, Pandara Road Behind Kendiriya Bhandar",29,306,287,New Delhi
40,"JJ Cluster, Back of Chelmsford Club, Raisina Road",27,177,287,New Delhi
40,"JJ Cluster Behind Meridien Hotel, Dr. Rajinder Prasad Road.",124,884,287,New Delhi
40,"JJ Camp Near Masjid Polo Ground, Race Course Club, Kamal Attaturk Road",47,4304,287,New Delhi
40,"Bhaiya Ram Camp, Race Course Club, Race Course Road.",500,9125,289,New Delhi
40,"JJ Camp at DID, Race Course Near Riding Club, Safdarjung Road",85,2160,287,New Delhi
40,JJ Camp (Small Cluster) Below Safdarjung Flyover Railway Line ,84,350,289,New Delhi
40,JJ Cluster at Shiv Mandir Near Railway Flying Club,51,220,287,New Delhi
40,"JJ Cluster at Purana Quila Road, N.S.C.I",204,576,288,New Delhi
3,Nehru Basti Kalai Basti (Seeta Saran Colony.),129,13090,9,North
3,Near Petrol Pump Opposite HANS RAJ College Malka Ganj ,29,575,9,North
44,Azad Basti Mohomed Pur,165,3876,167,New Delhi
44,Ambedkar Basti West Block-II R.K.Puram,1200,27137,167,New Delhi
44,Leprosy Colony Infront of Mohan Singh Market R.K.Puram ,64,1444,167,New Delhi
44,Sardar Patel Ekta Camp (Ekta Vihar),1856,29333,168,New Delhi
44,Sonia Gandhi Camp Sector 7 R.K.Puram,150,5285,168,New Delhi
44,"Lal Bahadur Shastri Camp Sector-7, R.K.Puram",92,1960,168,New Delhi
44,Nehru Ekta Camp Sector-VII R.K.Puram,335,5850,168,New Delhi
44,S.P./J.P. Colony Sector 6 R.K.Puram,111,3524,168,New Delhi
44,Malai Mandir Sector VII R.K.Puram.,143,5440,168,New Delhi
44,Shastri Market Moti Bagh (South),943,37500,168,New Delhi
44,Shri Ram JJC near SPRINGDALE School Dhaula Kaun,550,12500,168,New Delhi
44,Sector-I R.K.Puram Police Post (Hanuman Camp),373,18874,167,New Delhi
44,Kanak Durga Camp R.K.Puram Sector XII,1047,26800,167,New Delhi
44,Behind Sangam Cinema Sector IX/Sabzi Market R.K.Puram ,96,4800,167,New Delhi
44,Ravi Dass Camp Sector-3 R.K.Puram,150,3505,166,New Delhi
44,Police Chowki Sector IV R.K.Puram Parvatiya Camp,228,4616,166,New Delhi
44,Sector III/JJ Mahiwal Saraswati Camp R.K. Puram,298,9582,166,New Delhi
44,Nepali Camp Near Bhanwar Singh Camp Vasant Vihar,686,13600,165,New Delhi
44,"Bhanwar Singh Camp Behind Janta Flat Block-D, Vasant Vihar Phase-I",1088,36400,165,New Delhi
44,Sewa Camp Behind Police Staff Quarter Vasant Vihar Depot Munirika,92,3110,165,New Delhi
44,Shiva Camp Vasant Vihar Near Petrol Pump,175,4964,165,New Delhi
44,Coolie Camp Vasant Vihar,281,11200,165,New Delhi
44,Adarsh Colony Mohammed Pur,530,3200,167,New Delhi
44,Kumhar Basti Mohomed Pur,241,4600,168,New Delhi
47,Janta Jeewan Tigri Part-I,5419,76104,178,South
48,Harijan Camp Khanpur & Banjara Camp Opposite PNB Khanpur,348,18900,180,South
47,Sanjay Camp Dakshin Puri Extension,915,18790,179,South
47,JJC Sheheed Camp Block.16 Dakshin Puri Extension,205,5214,179,South
47,Mini Subhash Camp near Police Station Dakshin Puri Extension,195,7425,180,South
47,"Subhash Camp Block-4,5,6,7 Dakshin Puri",1230,25888,180,South
48,JJC Near Virat Cinema C-Block,101,3570,183,South
55,"Indira Camp Surrounded By Block-28,29&19 Trilok Puri Site-I",1200,18708,211,East
55,Sanjay Camp Block-27 Trilok Puri,300,3884,209,East
55,"Indira Nagar Block-22,23 Trilok Puri",19,464,209,East
55,"Sanjay Shakha Camp Block-15,16 Trilok Puri",105,1776,210,East
55,"Shastri Camp Block-6,7& 8 Trilok Puri",58,5193,210,East
55,"Indira Camp Block-1, 2&3 Trilok Puri",215,9742,210,East
57,Pandit Bismil Camp Shashi Garden Patpar Ganj,1159,77212,220,East
56,"Block-19,20 Kalyan Puri",341,5723,213,East
56,"Indira Camp Block-11,12 Kalyan Puri",167,2283,213,East
56,JJC Block-18 Indira Camp Kalyan Puri,1019,16208,213,East
56,"Block-1,6,7 Khichripur near Gaji Pur Drain-II",150,2703,213,East
56,Block-17 & 21 Kalyan Puri,1300,29346,213,East
57,"NH-24, Patpar Ganj (Nehru Camp)",603,17418,217,East
56,"Bus Stand Khichripur Block-13,14",94,5867,213,East
57,Indira Jhugie Jhompri Camp Kalyanvas Khichripur,50,3234,219,East
57,"Sangarsh Morcha, Ravidas Camp Pandav Nagar Mother Diary",177,3154,217,East
56,"Mulla colony,Village Gharoli",287,16193,216,East
57,Jai Bharti Camp East Vinod Nagar,250,7718,219,East
57,"J-Block, East Vinod Nagar",166,4791,219,East
57,"Block 6,7,8 Khichri Pur Near Gazi Pur Drain Phase-II",482,37491,213,East
55,Rajiv Camp Block-26 Trilok Puri,79,855,209,East
55,Harijan Camp Block-31 Tirlok Puri,67,923,211,East
55,Ambedekar Camp Block-32&34 Trilok Puri,950,10657,211,East
57,Hr. Sec. School behind Patpar Ganj,1624,24310,220,East
57,"D-Block, West Vinod Nagar.",33,1176,219,East
55,Block-24 Tirlok Puri,29,1212,209,East
45,Rana Colony-II Mehrauli,397,755,170,South
45,Islam Colony Mahrauli,450,1131,170,South
45,"In Front of B-4, B-5 Vasant Kunj",59,18500,171,South
45,Kusumpur Pahari Block-B Vasant Vihar,4909,173251,171,South
45,Moti Lal Nehru Camp J.N.U.,960,30367,171,South
53,"Parasad Nagar, Meethapur",173,9208,204,South
53,Bilas Pur Camp Molar Band NTPC,1122,40500,204,South
53,Subash Camp NTPC Badarpur,521,8600,203,South
53,BIW JJ Camp B.T. Badarpur,717,26200,203,South
53,Tajpur Pahari Badarpur,198,18239,203,South
59,Mazboor Camp Near Police Chowcki Mandavli Fazalpur ,248,7854,227,East
59,Indira Camp Madhu Vihar Phase-II,221,7544,227,East
59,Madhu Vihar Phase-I behind Patpar Ganj Depot,345,9464,227,East
58,Sonia Camp near Dispensary Mandavali,357,4366,224,East
59,AGCR Shahdara,35,1764,228,East
59,Rajiv Gandhi Camp Chitra Vihar,375,8903,228,East
59,"EAST GURU ANGAD NAGARD, NEAR RADHU PLACE",177,3697,228,East
59,"C-Block, Jaina Tower Preet Vihar",63,435,228,East
59,New Sanjay Amar Colony Vishwas Nagar,3309,72588,226,East
58,"Sayeed Peerwala ki Mazar, Ramesh Park Laxmi Nagar",184,8514,221,East
58,Indira Camp Flood Deptt. Office Kishan Kunj Extension ,307,11933,221,East
