wardNo,wardIndex,ID,wardName,totalPopulation,countyCode,County Employed,Employed
242,241,2180,Gävle,102418,21,118783,42332
243,242,2181,Sandviken,39234,21,118783,16217
244,243,2182,Söderhamn,25643,21,118783,10599
245,244,2183,Bollnäs,26888,21,118783,11114
246,245,2184,Hudiksvall,37607,21,118783,15544
247,246,2260,Ånge,9316,22,105470,4005
248,247,2262,Timrå,17979,22,105470,7729
249,248,2280,Härnösand,25183,22,105470,10826
250,249,2281,Sundsvall,99449,22,105470,42751
251,250,2282,Kramfors,18282,22,105470,7859
252,251,2283,Sollefteå,19140,22,105470,8228
253,252,2284,Örnsköldsvik,55998,22,105470,24072
254,253,2303,Ragunda,5284,23,56009,416
255,254,2305,Bräcke,6298,23,56009,761
256,255,2309,Krokom,14966,23,56009,1253
257,256,2313,Strömsund,11605,23,56009,613
258,257,2321,Åre,11727,23,56009,630
259,258,2326,Berg,7061,23,56009,588
260,259,2361,Härjedalen,10090,23,56009,1579
261,260,2380,Östersund,63779,23,56009,28965
262,261,2401,Nordmaling,7143,24,121468,3193
263,262,2403,Bjurholm,2408,24,121468,1076
264,263,2404,Vindeln,5423,24,121468,2424
265,264,2409,Robertsfors,6747,24,121468,3016
266,265,2417,Norsjö,3986,24,121468,1782
267,266,2418,Malå,3068,24,121468,1371
268,267,2421,Storuman,5852,24,121468,2616
269,268,2422,Sorsele,2489,24,121468,1113
270,269,2425,Dorotea,2551,24,121468,1140
271,270,2460,Vännäs,8872,24,121468,3966
272,271,2462,Vilhelmina,6668,24,121468,2981
273,272,2463,Åsele,2794,24,121468,1249
274,273,2480,Umeå,128901,24,121468,57620
275,274,2481,Lycksele,12245,24,121468,5474
276,275,2482,Skellefteå,72589,24,121468,32448
277,276,2505,Arvidsjaur,6220,25,113388,2820
278,277,2506,Arjeplog,2785,25,113388,1263
279,278,2510,Jokkmokk,4923,25,113388,2232
280,279,2513,Överkalix,3315,25,113388,1503
281,280,2514,Kalix,15886,25,113388,7202
282,281,2518,Övertorneå,4299,25,113388,1949
283,282,2521,Pajala,6052,25,113388,2744
284,283,2523,Gällivare,17529,25,113388,7947
285,284,2560,Älvsbyn,8066,25,113388,3657
286,285,2580,Luleå,78105,25,113388,35412
287,286,2581,Piteå,42281,25,113388,19170
288,287,2582,Boden,28080,25,113388,12731
289,288,2583,Haparanda,9685,25,113388,4391
290,289,2584,Kiruna,22867,25,113388,10368
