wardIndex,wardNo,ntaCode,wardName,Households
178,179,SI07,Westerleigh,9674
179,180,SI08,Grymes Hill-Clifton-Fox Hills,8567
180,181,SI11,Charleston-Richmond Valley-Tottenville,8244
181,182,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,11198
182,183,SI14,Grasmere-Arrochar-Ft. Wadsworth,6115
183,184,SI22,West New Brighton-New Brighton-St. George,13757
184,185,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,11739
185,186,SI25,Oakwood-Oakwood Beach,8733
186,187,SI28,Port Richmond,7064
187,188,SI32,Rossville-Woodrow,7225
188,189,SI35,New Brighton-Silver Lake,7011
189,190,SI36,Old Town-Dongan Hills-South Beach,9275
190,191,SI37,Stapleton-Rosebank,10192
191,192,SI45,New Dorp-Midland Beach,8398
192,193,SI48,Arden Heights,9188
193,194,SI54,Great Kills,15716
194,195,SI99,park-cemetery-etc-Staten Island,0
