trainLine,stationName,stationCode,isFastStop,isTerminal,isSlowFastInterchange,isLineInterchange,slowTimeFromPreviousStation,latitude,longitude,s2_cell,geojson
central,lowjee,LWJ,0,0,0,0,4,18.809955,73.335006,,
central,khopoli,KP,0,1,0,0,6,18.789639,73.344833,4316708420452352000,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.323708, 18.781629], [73.34729, 18.783781], [73.34729, 18.806797], [73.323708, 18.804643], [73.323708, 18.781629]]]}, ""properties"": {""cell"": 4316708420452352000}}"
harbour,chhatrapati shivaji terminus,ST,0,1,0,1,0,18.9398,72.8354,4316649459141312512,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.919461], [72.851548, 18.921699], [72.851548, 18.944679], [72.827915, 18.942438], [72.827915, 18.919461]]]}, ""properties"": {""cell"": 4316649459141312512}}"
harbour,masjid,MSD,0,0,0,1,3,18.951884,72.838186,4316645473411661824,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.942438], [72.851548, 18.944679], [72.851548, 18.967661], [72.827915, 18.965418], [72.827915, 18.942438]]]}, ""properties"": {""cell"": 4316645473411661824}}"
harbour,sandhurst road,SNRD,0,0,0,1,3,18.960826,72.839511,4316645473411661824,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.942438], [72.851548, 18.944679], [72.851548, 18.967661], [72.827915, 18.965418], [72.827915, 18.942438]]]}, ""properties"": {""cell"": 4316645473411661824}}"
harbour,dockyard road,DKRD,0,0,0,0,2,18.966417,72.844132,4316645473411661824,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.942438], [72.851548, 18.944679], [72.851548, 18.967661], [72.827915, 18.965418], [72.827915, 18.942438]]]}, ""properties"": {""cell"": 4316645473411661824}}"
harbour,reay road,RRD,0,0,0,0,2,18.977443,72.84421,4316645610850615296,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.965418], [72.851548, 18.967661], [72.851548, 18.990644], [72.827915, 18.988398], [72.827915, 18.965418]]]}, ""properties"": {""cell"": 4316645610850615296}}"
harbour,cotton green,CTGN,0,0,0,0,2,18.986209,72.844076,4316645610850615296,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.965418], [72.851548, 18.967661], [72.851548, 18.990644], [72.827915, 18.988398], [72.827915, 18.965418]]]}, ""properties"": {""cell"": 4316645610850615296}}"
harbour,sewri,SVE,0,0,0,0,3,18.9987,72.8545,4316646435484336128,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.851548, 18.990644], [72.875179, 18.992886], [72.875179, 19.015873], [72.851548, 19.013628], [72.851548, 18.990644]]]}, ""properties"": {""cell"": 4316646435484336128}}"
harbour,vadala road,VD,0,1,0,0,3,19.016,72.8588,4316646572923289600,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.851548, 19.013628], [72.875179, 19.015873], [72.875179, 19.038861], [72.851548, 19.036614], [72.851548, 19.013628]]]}, ""properties"": {""cell"": 4316646572923289600}}"
